,snr,ch,packet,nn_loss,bl_loss
6776,32.0,B,6776,0.03044,0.00067
3555,32.0,A,3555,0.05971,0.00024
84,16.0,B,84,0.16054,0.00996
3375,36.0,B,3375,0.04009,0.00035
260,28.0,C,260,0.01382,0.00121
6530,24.0,B,6530,0.01844,0.00238
6405,28.0,F,6405,0.00043,0.00249
1049,24.0,A,1049,0.02078,0.00181
676,28.0,B,676,0.01564,0.00086
4810,28.0,D,4810,0.04479,0.00245
1455,24.0,B,1455,0.01337,0.00259
7801,36.0,A,7801,0.02702,0.00018
6539,36.0,B,6539,0.00769,0.00018
6468,36.0,D,6468,0.00846,0.00173
8014,36.0,C,8014,0.00449,0.00044
9147,36.0,C,9147,0.02594,0.00028
930,20.0,D,930,0.00251,0.00768
7606,40.0,D,7606,0.00179,0.00218
4124,36.0,F,4124,0.09821,0.06111
625,20.0,C,625,0.05333,0.00425
1900,24.0,A,1900,0.04793,0.00335
9400,16.0,B,9400,0.00482,0.02326
3478,24.0,E,3478,0.0278,0.04058
8190,20.0,D,8190,0.05204,0.00866
5841,32.0,B,5841,0.01005,0.00031
7265,32.0,D,7265,0.00735,0.00088
3243,40.0,C,3243,0.00417,0.00021
7187,12.0,C,7187,0.00264,0.03952
9945,24.0,B,9945,0.00127,0.00291
1151,40.0,D,1151,0.10735,0.00181
5382,20.0,C,5382,0.00836,0.00727
402,28.0,A,402,0.00613,0.00063
2909,32.0,D,2909,0.00403,0.00122
7459,24.0,D,7459,0.01056,0.00399
4688,32.0,B,4688,0.00277,0.00094
4287,16.0,C,4287,0.01326,0.03487
3370,24.0,E,3370,0.02752,0.00689
6716,28.0,F,6716,0.02236,0.04481
8529,20.0,D,8529,0.00699,0.00706
7711,28.0,B,7711,0.01642,0.00144
4598,28.0,F,4598,0.04001,0.04991
5043,36.0,E,5043,0.01475,0.02556
4158,16.0,B,4158,0.01758,0.01349
3882,20.0,E,3882,0.0178,0.02117
9918,20.0,E,9918,0.00299,0.02009
9058,28.0,D,9058,0.0241,0.00543
9531,32.0,D,9531,0.01714,0.02484
3137,24.0,B,3137,0.00388,0.00182
1086,32.0,B,1086,0.02626,0.00087
8033,24.0,A,8033,0.00336,0.00255
3257,16.0,C,3257,0.01709,0.01382
2581,28.0,C,2581,0.00156,0.00178
2839,28.0,E,2839,0.01806,0.00576
7175,12.0,C,7175,0.03005,0.03958
8032,20.0,E,8032,0.0661,0.02085
9296,28.0,D,9296,0.03026,0.00409
5336,32.0,B,5336,0.00123,0.00049
2896,40.0,A,2896,0.02952,5e-05
94,20.0,D,94,0.01395,0.00761
4219,36.0,B,4219,0.00269,0.00048
8472,24.0,F,8472,0.02296,0.04301
2190,36.0,B,2190,0.00483,0.0013
7650,16.0,E,7650,0.00535,0.01928
969,32.0,A,969,0.02158,0.00018
9131,32.0,F,9131,0.08516,0.02322
8523,24.0,F,8523,0.00891,0.00539
8387,16.0,A,8387,0.06161,0.01279
2917,20.0,F,2917,0.01003,0.06522
869,12.0,D,869,0.1812,0.03461
7132,20.0,A,7132,0.06098,0.00642
586,20.0,B,586,0.0065,0.00443
1448,12.0,B,1448,0.02529,0.04995
9486,16.0,D,9486,0.00605,0.02091
757,12.0,E,757,0.00253,0.04279
6715,12.0,D,6715,0.0116,0.04845
2153,36.0,B,2153,0.00137,0.00165
7521,16.0,D,7521,0.00081,0.01149
6883,36.0,C,6883,0.02468,0.00386
9775,24.0,B,9775,0.00323,0.00292
6194,16.0,B,6194,0.0272,0.01348
618,12.0,B,618,0.00842,0.0515
4177,32.0,E,4177,0.06309,0.00569
3092,36.0,A,3092,0.00348,9e-05
7628,20.0,C,7628,0.00806,0.00591
2550,28.0,E,2550,0.00103,0.00983
8773,20.0,B,8773,0.04413,0.00563
9885,24.0,C,9885,0.0403,0.00445
4232,32.0,D,4232,0.00956,0.00251
7200,24.0,C,7200,0.0526,0.00204
7274,24.0,F,7274,0.00395,0.01445
516,40.0,E,516,0.00714,0.00119
3301,20.0,A,3301,0.0138,0.0042
186,20.0,D,186,0.10439,0.0116
7260,36.0,F,7260,0.11739,0.01213
3743,12.0,A,3743,0.10643,0.05138
1919,32.0,B,1919,0.00433,0.00027
1739,24.0,C,1739,0.4763,0.00299
2260,24.0,E,2260,0.0081,0.01322
3549,16.0,D,3549,0.05277,0.0153
1082,24.0,E,1082,0.00973,0.01902
2044,24.0,A,2044,0.01914,0.00382
7815,32.0,D,7815,0.03743,0.00315
7280,20.0,E,7280,0.02391,0.01853
9678,32.0,F,9678,0.02284,0.03453
1810,36.0,E,1810,0.01821,0.00984
7259,36.0,D,7259,0.55839,0.00034
3577,20.0,B,3577,0.00995,0.00627
878,32.0,C,878,0.02182,0.00283
9186,32.0,B,9186,0.06867,0.00069
7605,20.0,A,7605,0.10113,0.00549
6544,28.0,D,6544,0.00628,0.0045
993,36.0,F,993,0.00828,0.00785
